jittered_title,seed_title,onet_code,onet_name
Financial Crimes Investigator (FCI) - Entry-Level,Financial Crimes Investigator,13-2099.04,"Fraud Examiners, Investigators and Analysts"
"Investigator, Financial Crimes Unit - Law Enforcement",Financial Crimes Investigator,13-2099.04,"Fraud Examiners, Investigators and Analysts"
Financial Intelligence Investigator - Global Banking,Financial Crimes Investigator,13-2099.04,"Fraud Examiners, Investigators and Analysts"
Anti-Money Laundering (AML) Investigator - Financial Crimes,Financial Crimes Investigator,13-2099.04,"Fraud Examiners, Investigators and Analysts"
Executive Chef - Fine Dining Restaurant (Michelin Starred),Executive Chef (Ex Chef),35-1011.00,Chefs and Head Cooks
Ex Chef (Executive Chef) - Culinary Arts School Instructor,Executive Chef (Ex Chef),35-1011.00,Chefs and Head Cooks
"Executive Chef - Country Club, High-Volume Kitchen",Executive Chef (Ex Chef),35-1011.00,Chefs and Head Cooks
Chef de Cuisine (Executive Chef) - Luxury Hotel,Executive Chef (Ex Chef),35-1011.00,Chefs and Head Cooks
Executive Chef - Food Truck and Catering Business,Executive Chef (Ex Chef),35-1011.00,Chefs and Head Cooks
Network Security Analyst - Incident Response Team,Network Security Analyst,15-1212.00,Information Security Analysts
Senior Network Security Analyst - Cloud Security,Network Security Analyst,15-1212.00,Information Security Analysts
Network Security Analyst (NSA) - Government Contract,Network Security Analyst,15-1212.00,Information Security Analysts
Information Security Analyst - Network Security Focus,Network Security Analyst,15-1212.00,Information Security Analysts
Network Security Analyst - Threat Detection and Response,Network Security Analyst,15-1212.00,Information Security Analysts
"Cytologist - Gynecologic Focus - $10,000 Sign-On Bonus",Cytologist,29-2011.02,Cytotechnologists
Senior Cytologist - Microbiology Laboratory (Full-Time),Cytologist,29-2011.02,Cytotechnologists
Cytology Laboratory Technician - Temporary Position,Cytologist,29-2011.02,Cytotechnologists
Cytologist Opportunity - Join Our Team of Medical Professionals,Cytologist,29-2011.02,Cytotechnologists
Lead Cytologist - Anatomic Pathology Department,Cytologist,29-2011.02,Cytotechnologists
Optical Engineer - Laser Systems (Top Secret Clearance Required),Optical Engineer,17-2199.07,Photonics Engineers
"Senior Optical Engineer - Space Exploration (Pasadena, CA)",Optical Engineer,17-2199.07,Photonics Engineers
Optical Engineer - Design and Development of Optical Instruments,Optical Engineer,17-2199.07,Photonics Engineers
Optical Systems Engineer - Night Vision and Electro-Optics,Optical Engineer,17-2199.07,Photonics Engineers
Principal Optical Engineer - Advanced Research and Development,Optical Engineer,17-2199.07,Photonics Engineers
"4-H Youth Development Educator - Cornell University (Ithaca, NY)",4-H Youth Educator,25-9021.00,Farm and Home Management Educators
Youth Educator - 4-H Afterschool Programs (Part-Time),4-H Youth Educator,25-9021.00,Farm and Home Management Educators
"Extension Educator, 4-H Youth Development - University of Illinois",4-H Youth Educator,25-9021.00,Farm and Home Management Educators
4-H Program Educator - STEM and Agriculture Focus,4-H Youth Educator,25-9021.00,Farm and Home Management Educators
4-H Youth Educator - Summer Camp and Outreach Programs,4-H Youth Educator,25-9021.00,Farm and Home Management Educators
Geological E-Logger - Drilling Operations (Oil and Gas),Geological E-Logger,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
Mud Logger / Geological E-Logger - Entry-Level Position,Geological E-Logger,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
Senior Geological E-Logger - Geosteering and Formation Evaluation,Geological E-Logger,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
Geological E-Logger - Well Site Operations (International),Geological E-Logger,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
E-Logging Geologist - Petroleum Services Company,Geological E-Logger,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
Health Assistant - Medical Office (Front and Back Office),Health Assistant,31-9092.00,Medical Assistants
Community Health Assistant - Non-Profit Organization (Bilingual),Health Assistant,31-9092.00,Medical Assistants
Health Care Assistant - Assisted Living Facility (CNA Preferred),Health Assistant,31-9092.00,Medical Assistants
Medical Health Assistant - Clinical Research Study,Health Assistant,31-9092.00,Medical Assistants
Health Assistant - School District (Nurse's Aide or CNA Required),Health Assistant,31-9092.00,Medical Assistants
U.S. Customs Inspector (CBP) - Port of Entry,Customs Inspector,33-3051.04,Customs and Border Protection Officers
Customs Inspector - Import/Export Specialist,Customs Inspector,33-3051.04,Customs and Border Protection Officers
Lead Customs Inspector - Trade Compliance,Customs Inspector,33-3051.04,Customs and Border Protection Officers
Customs Inspector Trainee - Paid Training Provided,Customs Inspector,33-3051.04,Customs and Border Protection Officers
Senior Customs Inspector - Anti-Terrorism Specialist,Customs Inspector,33-3051.04,Customs and Border Protection Officers
Security Camera Installer - Residential & Commercial,Security Installer,49-2098.00,Security and Fire Alarm Systems Installers
Electronic Security Systems Installer - $25-$35/hr,Security Installer,49-2098.00,Security and Fire Alarm Systems Installers
Security Installer & Service Technician - Alarm Systems,Security Installer,49-2098.00,Security and Fire Alarm Systems Installers
Low Voltage Security Installer - Experienced Technicians Wanted,Security Installer,49-2098.00,Security and Fire Alarm Systems Installers
Security Installer - Access Control & CCTV Systems,Security Installer,49-2098.00,Security and Fire Alarm Systems Installers
Grounds Supervisor - Golf Course Maintenance,Grounds Supervisor,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
Cemetery Grounds Supervisor - Full-Time,Grounds Supervisor,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
Grounds Supervisor - Landscaping & Horticulture,Grounds Supervisor,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
Assistant Grounds Supervisor - University Campus,Grounds Supervisor,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
Grounds Supervisor - Parks & Recreation Department,Grounds Supervisor,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
Paper Cutter Operator - Printing & Binding,Paper Cutter Operator,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
Finishing Department: Paper Cutter Operator - 2nd Shift,Paper Cutter Operator,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
Entry-Level Paper Cutter Operator - Manufacturing,Paper Cutter Operator,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
Senior Paper Cutter Operator - Die-Cutting Specialist,Paper Cutter Operator,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
Paper Cutter Operator - Corrugated Box Plant,Paper Cutter Operator,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
Potato Grader & Packer - Agricultural Production,Potato Grader,45-2041.00,"Graders and Sorters, Agricultural Products"
Quality Control: Potato Grader - Fresh Produce,Potato Grader,45-2041.00,"Graders and Sorters, Agricultural Products"
Potato Grader - Sorting & Packing Line,Potato Grader,45-2041.00,"Graders and Sorters, Agricultural Products"
Experienced Potato Grader - Seed Potato Farm,Potato Grader,45-2041.00,"Graders and Sorters, Agricultural Products"
Potato Grader & Inspector - Food Processing Plant,Potato Grader,45-2041.00,"Graders and Sorters, Agricultural Products"
Inside Sales Representative - SaaS Technology (Base + Commission),Inside Sales Representative (Inside Sales Rep),41-9041.00,Telemarketers
"Entry Level Inside Sales Rep - Training Provided (Boston, MA)",Inside Sales Representative (Inside Sales Rep),41-9041.00,Telemarketers
Inside Sales Account Representative - Healthcare Industry,Inside Sales Representative (Inside Sales Rep),41-9041.00,Telemarketers
Senior Inside Sales Representative - Enterprise Software Sales,Inside Sales Representative (Inside Sales Rep),41-9041.00,Telemarketers
Remote Inside Sales Representative - Renewable Energy Solutions,Inside Sales Representative (Inside Sales Rep),41-9041.00,Telemarketers
Psychiatric Nurse Practitioner - Outpatient Mental Health (Full-Time),Psychiatric NP (Psychiatric Nurse Practitioner),29-1141.02,Advanced Practice Psychiatric Nurses
"Psych NP - Inpatient Psychiatry Unit - $120,000 - $150,000/Year",Psychiatric NP (Psychiatric Nurse Practitioner),29-1141.02,Advanced Practice Psychiatric Nurses
Mental Health Psychiatric NP - Community Health Center,Psychiatric NP (Psychiatric Nurse Practitioner),29-1141.02,Advanced Practice Psychiatric Nurses
Psychiatric Nurse Practitioner (PMHNP) - Child & Adolescent,Psychiatric NP (Psychiatric Nurse Practitioner),29-1141.02,Advanced Practice Psychiatric Nurses
Travel Psychiatric Nurse Practitioner - High Paying Contract Positions,Psychiatric NP (Psychiatric Nurse Practitioner),29-1141.02,Advanced Practice Psychiatric Nurses
"Chemical Technician - 2nd Shift - $22-$25/Hour (Toledo, OH)",Chemical Technician,19-4031.00,Chemical Technicians
Senior Chemical Technician - Research & Development Lab,Chemical Technician,19-4031.00,Chemical Technicians
Entry-Level Chemical Technician - Water Treatment Plant,Chemical Technician,19-4031.00,Chemical Technicians
Chemical Technician - Quality Control (QC) Lab Setting,Chemical Technician,19-4031.00,Chemical Technicians
Chemical Process Technician - Refinery Operations (Louisiana),Chemical Technician,19-4031.00,Chemical Technicians
Law Associate - Corporate Law Firm (Top Tier),Law Associate,23-2011.00,Paralegals and Legal Assistants
Associate Attorney - Litigation Practice Group,Law Associate,23-2011.00,Paralegals and Legal Assistants
Real Estate Law Associate - Commercial Transactions,Law Associate,23-2011.00,Paralegals and Legal Assistants
Intellectual Property Law Associate - Patent Attorney,Law Associate,23-2011.00,Paralegals and Legal Assistants
Associate Lawyer - Public Interest Law (Non-Profit),Law Associate,23-2011.00,Paralegals and Legal Assistants
Certified Endoscopy Technician - Ambulatory Surgery Center (ASC),Endoscopy Technician (Endoscopy Tech),31-9099.02,Endoscopy Technicians
Endoscopy Tech - Gastroenterology Clinic (Full-Time),Endoscopy Technician (Endoscopy Tech),31-9099.02,Endoscopy Technicians
Registered Endoscopy Technician - Hospital Setting (Days),Endoscopy Technician (Endoscopy Tech),31-9099.02,Endoscopy Technicians
Endoscopy Technician - Travel Contract - $45/Hour,Endoscopy Technician (Endoscopy Tech),31-9099.02,Endoscopy Technicians
Senior Endoscopy Technician - Endoscopy Suite Manager,Endoscopy Technician (Endoscopy Tech),31-9099.02,Endoscopy Technicians
Statement Services Representative - Financial Services (Remote Option),Statement Services Representative (Statement Services Rep),43-3021.00,Billing and Posting Clerks
Customer Service Representative - Statement Services Team (Bilingual),Statement Services Representative (Statement Services Rep),43-3021.00,Billing and Posting Clerks
"Statement Services Rep - Part-Time, 20 Hours/Week (Flexible Schedule)",Statement Services Representative (Statement Services Rep),43-3021.00,Billing and Posting Clerks
Senior Statement Services Representative - Team Lead Opportunity,Statement Services Representative (Statement Services Rep),43-3021.00,Billing and Posting Clerks
"Statement Services Representative (Night Shift) - $2,000 Sign-On Bonus",Statement Services Representative (Statement Services Rep),43-3021.00,Billing and Posting Clerks
Commercial Insulator - Industrial Construction Projects (Travel Required),Commercial Insulator,47-2132.00,"Insulation Workers, Mechanical"
Insulator (Commercial) - Experienced Tradesperson Wanted,Commercial Insulator,47-2132.00,"Insulation Workers, Mechanical"
Commercial Insulation Specialist - Competitive Pay & Benefits,Commercial Insulator,47-2132.00,"Insulation Workers, Mechanical"
"Industrial Commercial Insulator - Immediate Hire, Competitive Pay",Commercial Insulator,47-2132.00,"Insulation Workers, Mechanical"
Senior Commercial Insulator - Lead Hand Opportunity (Supervisory Role),Commercial Insulator,47-2132.00,"Insulation Workers, Mechanical"
Federal Career Law Clerk - U.S. District Court (2-Year Term),Career Law Clerk,23-1012.00,Judicial Law Clerks
Career Law Clerk to Judge - State Supreme Court (Prestigious Opportunity),Career Law Clerk,23-1012.00,Judicial Law Clerks
"Law Clerk - Career Position, Judicial Chambers (Entry-Level)",Career Law Clerk,23-1012.00,Judicial Law Clerks
Chambers Career Law Clerk - U.S. Court of Appeals (Highly Competitive),Career Law Clerk,23-1012.00,Judicial Law Clerks
Career Law Clerk Opportunity - Federal Bankruptcy Court (Dynamic Team),Career Law Clerk,23-1012.00,Judicial Law Clerks
Deputy City Recorder - Municipal Government (Part-Time),City Recorder,43-4031.00,"Court, Municipal, and License Clerks"
"City Recorder - Elected Official, Competitive Salary & Benefits",City Recorder,43-4031.00,"Court, Municipal, and License Clerks"
Assistant City Recorder - Administrative Support (Entry-Level),City Recorder,43-4031.00,"Court, Municipal, and License Clerks"
City Recorder's Office - Administrative Assistant (Customer Service),City Recorder,43-4031.00,"Court, Municipal, and License Clerks"
"Senior City Recorder - Department Head, Municipal Government (Leadership)",City Recorder,43-4031.00,"Court, Municipal, and License Clerks"
Pattern Finisher - Textile Manufacturing (Experienced),Pattern Finisher,51-4061.00,"Model Makers, Metal and Plastic"
"Finishing Pattern Maker - Fashion Industry, Competitive Pay",Pattern Finisher,51-4061.00,"Model Makers, Metal and Plastic"
"Pattern Finisher - Garment Manufacturing, Immediate Hire",Pattern Finisher,51-4061.00,"Model Makers, Metal and Plastic"
"Senior Pattern Finisher - Team Lead, Apparel Production (Supervisory)",Pattern Finisher,51-4061.00,"Model Makers, Metal and Plastic"
"Pattern Maker/Finisher - Costume Design, Theatrical Productions (Creative)",Pattern Finisher,51-4061.00,"Model Makers, Metal and Plastic"
Senior Proofreader - Publishing House (Temp-to-Perm),Proofreader,43-9081.00,Proofreaders and Copy Markers
Freelance Proofreader Wanted - Flexible Hours (Remote),Proofreader,43-9081.00,Proofreaders and Copy Markers
Content Reviewer/Proofreader - Entry-Level Position,Proofreader,43-9081.00,Proofreaders and Copy Markers
Proofreader (Part-Time) - Academic Journal,Proofreader,43-9081.00,Proofreaders and Copy Markers
Editorial Assistant & Proofreader - Book Publishing Company,Proofreader,43-9081.00,Proofreaders and Copy Markers
Refrigeration Technician - Commercial HVAC Experience Required,Refrigeration Technician,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
Traveling Refrigeration Technician - Competitive Pay & Benefits,Refrigeration Technician,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
Appliance Repair Technician (Refrigeration Focus) - In-Home Service,Refrigeration Technician,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
Industrial Refrigeration Technician - Night Shift (4-Day Workweek),Refrigeration Technician,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
Senior Refrigeration Technician - Supervisory Role (Industrial Setting),Refrigeration Technician,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
Golf Course Greenskeeper - Turf Management Experience a Must,Greenskeeper,37-3011.00,Landscaping and Groundskeeping Workers
Groundskeeper/Greenskeeper - Country Club Setting (Full-Time),Greenskeeper,37-3011.00,Landscaping and Groundskeeping Workers
Assistant Superintendent/Greenskeeper - Golf Course Maintenance,Greenskeeper,37-3011.00,Landscaping and Groundskeeping Workers
Greenskeeper - Seasonal Position (April-October) - Resort Golf Course,Greenskeeper,37-3011.00,Landscaping and Groundskeeping Workers
Sports Turf Manager/Greenskeeper - Stadium and Field Maintenance,Greenskeeper,37-3011.00,Landscaping and Groundskeeping Workers
Nursery Manager - Plant Knowledge Required (Gardening Store),Nursery Manager,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
Daycare Nursery Manager - Early Childhood Education Experience,Nursery Manager,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
Tree Nursery Manager - Forestry or Horticulture Background,Nursery Manager,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
Nursery and Garden Center Manager - Retail Experience a Plus,Nursery Manager,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
Neonatal Nursery Manager - RN Experience Required (Hospital Setting),Nursery Manager,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
Dinner Cook - Fine Dining Restaurant (Evening Shifts),Dinner Cook,35-2012.00,"Cooks, Institution and Cafeteria"
Personal Dinner Cook - Private Household (Live-In or Live-Out),Dinner Cook,35-2012.00,"Cooks, Institution and Cafeteria"
Line Cook/Dinner Cook - Casual Dining Restaurant (Full-Time),Dinner Cook,35-2012.00,"Cooks, Institution and Cafeteria"
Head Cook/Dinner Cook - Summer Camp (Seasonal Position),Dinner Cook,35-2012.00,"Cooks, Institution and Cafeteria"
Private Chef/Dinner Cook - Yacht or Estate Experience Preferred,Dinner Cook,35-2012.00,"Cooks, Institution and Cafeteria"
Quality Assurance Inspector (2nd Shift) - Food Manufacturing,Quality Assurance Inspector (QA Inspector),43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
QA Inspector - Aerospace Industry (Immediate Opening),Quality Assurance Inspector (QA Inspector),43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
Senior Quality Assurance Inspector - Medical Devices,Quality Assurance Inspector (QA Inspector),43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
Entry-Level Quality Assurance Inspector - Training Provided,Quality Assurance Inspector (QA Inspector),43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
Quality Assurance Inspector - Night Shift (Competitive Pay & Benefits),Quality Assurance Inspector (QA Inspector),43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
Photovoltaic (PV) System Designer - Residential Solar,Photovoltaic System Designer (PV System Designer),17-2199.11,Solar Energy Systems Engineers
Senior PV System Designer - Commercial Solar Projects,Photovoltaic System Designer (PV System Designer),17-2199.11,Solar Energy Systems Engineers
PV System Designer - Renewable Energy Company (Remote Work Option),Photovoltaic System Designer (PV System Designer),17-2199.11,Solar Energy Systems Engineers
Entry-Level Photovoltaic System Designer - Paid Training,Photovoltaic System Designer (PV System Designer),17-2199.11,Solar Energy Systems Engineers
Lead PV System Designer - Utility-Scale Solar Farms (Experienced Candidates),Photovoltaic System Designer (PV System Designer),17-2199.11,Solar Energy Systems Engineers
Social Work Instructor - Field Education Coordinator,Social Work Instructor,25-1113.00,"Social Work Teachers, Postsecondary"
Part-Time Social Work Instructor - Online Courses,Social Work Instructor,25-1113.00,"Social Work Teachers, Postsecondary"
Social Work Instructor - Mental Health Focus (Tenure-Track Position),Social Work Instructor,25-1113.00,"Social Work Teachers, Postsecondary"
Assistant Professor - Social Work Instructor (MSW Program),Social Work Instructor,25-1113.00,"Social Work Teachers, Postsecondary"
Social Work Instructor - Child Welfare Specialization (Adjunct Faculty),Social Work Instructor,25-1113.00,"Social Work Teachers, Postsecondary"
Quality Management Systems Engineer - ISO 13485,Quality Management Systems Engineer,17-2112.02,Validation Engineers
Senior Quality Management Systems Engineer - Medical Devices,Quality Management Systems Engineer,17-2112.02,Validation Engineers
Quality Management Systems Engineer - Aerospace Industry (Secret Clearance),Quality Management Systems Engineer,17-2112.02,Validation Engineers
Quality Management Systems Engineer - Lean Manufacturing,Quality Management Systems Engineer,17-2112.02,Validation Engineers
Quality Management Systems Engineer - FDA Regulated Environment (Experienced),Quality Management Systems Engineer,17-2112.02,Validation Engineers
Network Administrator - Active Directory & Cybersecurity,Network Administrator,15-1244.00,Network and Computer Systems Administrators
Junior Network Administrator - Help Desk Support,Network Administrator,15-1244.00,Network and Computer Systems Administrators
Senior Network Administrator - Cloud Infrastructure (AWS/Azure),Network Administrator,15-1244.00,Network and Computer Systems Administrators
Network Administrator - VoIP & Telecommunications,Network Administrator,15-1244.00,Network and Computer Systems Administrators
Network Administrator - Healthcare Industry (HIPAA Compliance),Network Administrator,15-1244.00,Network and Computer Systems Administrators
Avionics Safety Inspector - Federal Aviation Administration (FAA),Avionics Safety Inspector,53-6051.01,Aviation Inspectors
Senior Avionics Inspector - Quality Assurance (Night Shift),Avionics Safety Inspector,53-6051.01,Aviation Inspectors
Avionics Safety Inspector (ASI) - Aircraft Maintenance,Avionics Safety Inspector,53-6051.01,Aviation Inspectors
"Principal Inspector, Avionics - Regulatory Compliance",Avionics Safety Inspector,53-6051.01,Aviation Inspectors
Avionics Safety Inspector - Repair Station (Part 145),Avionics Safety Inspector,53-6051.01,Aviation Inspectors
"Resort Manager - Luxury Ski Resort in Vail, CO",Resort Manager,11-9081.00,Lodging Managers
"General Manager, Resort Operations - Caribbean Island Getaway",Resort Manager,11-9081.00,Lodging Managers
Assistant Resort Manager - Front Desk & Guest Services,Resort Manager,11-9081.00,Lodging Managers
Resort Manager - Waterpark & Amusement Park (Seasonal),Resort Manager,11-9081.00,Lodging Managers
Director of Resort Operations - Golf & Spa Resort in Scottsdale,Resort Manager,11-9081.00,Lodging Managers
Minor League Baseball Player - Pitcher (Left-Handed),Minor League Baseball Player,27-2021.00,Athletes and Sports Competitors
Professional Baseball Player - Minor League Affiliate (AA Level),Minor League Baseball Player,27-2021.00,Athletes and Sports Competitors
Minor League Baseball Player - Outfielder (Center Field),Minor League Baseball Player,27-2021.00,Athletes and Sports Competitors
"Baseball Player, Minor League - Strength & Conditioning Coach",Minor League Baseball Player,27-2021.00,Athletes and Sports Competitors
Minor League Baseball Player - Infielder (Shortstop) - Spring Training,Minor League Baseball Player,27-2021.00,Athletes and Sports Competitors
Nuclear Reactor Operator - Senior Reactor Operator (SRO) License,Nuclear Reactor Operator,51-8011.00,Nuclear Power Reactor Operators
Reactor Operator - Nuclear Power Plant (Night Shift),Nuclear Reactor Operator,51-8011.00,Nuclear Power Reactor Operators
Nuclear Reactor Operator - Training Instructor (Simulator),Nuclear Reactor Operator,51-8011.00,Nuclear Power Reactor Operators
Licensed Nuclear Reactor Operator - Plant Operations,Nuclear Reactor Operator,51-8011.00,Nuclear Power Reactor Operators
Nuclear Reactor Operator - Shift Supervisor (Rotating Shifts),Nuclear Reactor Operator,51-8011.00,Nuclear Power Reactor Operators
Meteorologist Liaison - Emergency Management & Response,Meteorologist Liaison,19-4099.03,Remote Sensing Technicians
Broadcast Meteorologist & Liaison to News Team,Meteorologist Liaison,19-4099.03,Remote Sensing Technicians
Meteorologist Liaison - Research & Development (R&D),Meteorologist Liaison,19-4099.03,Remote Sensing Technicians
Warning Coordination Meteorologist - Liaison to National Weather Service,Meteorologist Liaison,19-4099.03,Remote Sensing Technicians
Meteorologist Liaison - Aviation Weather Services (AWS),Meteorologist Liaison,19-4099.03,Remote Sensing Technicians
Distribution Operations Supervisor - Night Shift (4pm-2am),Distribution Operations Supervisor,11-9131.00,Postmasters and Mail Superintendents
Regional Distribution Operations Supervisor - West Coast,Distribution Operations Supervisor,11-9131.00,Postmasters and Mail Superintendents
Distribution Center Operations Supervisor - Entry-Level,Distribution Operations Supervisor,11-9131.00,Postmasters and Mail Superintendents
"Operations Supervisor, Distribution (Logistics & Supply Chain)",Distribution Operations Supervisor,11-9131.00,Postmasters and Mail Superintendents
Senior Distribution Operations Supervisor - 3rd Shift (10pm-6am),Distribution Operations Supervisor,11-9131.00,Postmasters and Mail Superintendents
Distribution System Operator - Real-Time Operations,Distribution System Operator,51-8012.00,Power Distributors and Dispatchers
Senior Distribution System Operator (Reliability & Maintenance),Distribution System Operator,51-8012.00,Power Distributors and Dispatchers
Distribution System Operator Trainee - No Experience Necessary,Distribution System Operator,51-8012.00,Power Distributors and Dispatchers
Distribution System Operator - Electric Utility (Grid Management),Distribution System Operator,51-8012.00,Power Distributors and Dispatchers
Lead Distribution System Operator - Afternoon Shift (12pm-8pm),Distribution System Operator,51-8012.00,Power Distributors and Dispatchers
Speech-Language Pathology Clinician - Pediatric Focus,Speech Clinician,29-1127.00,Speech-Language Pathologists
Bilingual Speech Clinician - Part-Time (20 hours/week),Speech Clinician,29-1127.00,Speech-Language Pathologists
Speech Clinician - Adult Rehabilitation (Full-Time),Speech Clinician,29-1127.00,Speech-Language Pathologists
Clinical Speech Pathologist - Home Health Setting,Speech Clinician,29-1127.00,Speech-Language Pathologists
Speech Clinician (CCC-SLP) - Skilled Nursing Facility,Speech Clinician,29-1127.00,Speech-Language Pathologists
Senior Telecommunications Analyst - Network Engineering,Telecommunications Analyst,15-1241.00,Computer Network Architects
Telecommunications Analyst - Cybersecurity Focus,Telecommunications Analyst,15-1241.00,Computer Network Architects
Telecom Analyst - Voice & Data Services (Help Desk),Telecommunications Analyst,15-1241.00,Computer Network Architects
Telecommunications Analyst - Project Management (Agile Methodologies),Telecommunications Analyst,15-1241.00,Computer Network Architects
Principal Telecommunications Analyst - Wireless Networks,Telecommunications Analyst,15-1241.00,Computer Network Architects
Hatchery Supervisor - Poultry Production (Breeder Farms),Hatchery Supervisor,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
Aquaculture Hatchery Supervisor - Fish & Shellfish,Hatchery Supervisor,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
Hatchery Supervisor - Egg Production (Layer Farms),Hatchery Supervisor,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
Senior Hatchery Supervisor - Quality Control & Assurance,Hatchery Supervisor,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
Hatchery Supervisor - Research & Development (New Technologies),Hatchery Supervisor,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
Veterinary Technologist - Anesthesia Department (Full-Time),Veterinary Technologist,29-2056.00,Veterinary Technologists and Technicians
Certified Veterinary Technologist (CVT) - Emergency & Critical Care,Veterinary Technologist,29-2056.00,Veterinary Technologists and Technicians
Veterinary Technologist - Cardiology (Experience with ECGs),Veterinary Technologist,29-2056.00,Veterinary Technologists and Technicians
Lead Veterinary Technologist - Surgery Team,Veterinary Technologist,29-2056.00,Veterinary Technologists and Technicians
"Veterinary Technologist - Research Studies (Part-Time, Flexible Hours)",Veterinary Technologist,29-2056.00,Veterinary Technologists and Technicians
Biomedical Electronics Technician - Medical Device Manufacturing,Biomedical Electronics Technician,17-2031.00,Bioengineers and Biomedical Engineers
Senior Biomedical Electronics Technician - Field Service (Travel Required),Biomedical Electronics Technician,17-2031.00,Bioengineers and Biomedical Engineers
Biomedical Electronics Technician - Hospital Equipment Maintenance,Biomedical Electronics Technician,17-2031.00,Bioengineers and Biomedical Engineers
Biomedical Electronics Technician - Research & Development (New Graduates Welcome),Biomedical Electronics Technician,17-2031.00,Bioengineers and Biomedical Engineers
Biomedical Electronics Technician - Diagnostic Imaging (MRI/CT Scan),Biomedical Electronics Technician,17-2031.00,Bioengineers and Biomedical Engineers
Aeronautical Engineer - Structural Analysis (Finite Element Methods),Aeronautical Engineer,17-2011.00,Aerospace Engineers
Senior Aeronautical Engineer - Systems Design (Electrical/Aerodynamics),Aeronautical Engineer,17-2011.00,Aerospace Engineers
Aeronautical Engineer - Aerodynamics & Performance (Wind Tunnel Testing),Aeronautical Engineer,17-2011.00,Aerospace Engineers
Aeronautical Engineer - Materials Science (Composites & Metals),Aeronautical Engineer,17-2011.00,Aerospace Engineers
Lead Aeronautical Engineer - Project Management (Propulsion Systems),Aeronautical Engineer,17-2011.00,Aerospace Engineers
Transportation Specialist - Logistics Coordinator (Freight & Shipping),Transportation Specialist,53-4011.00,Locomotive Engineers
Transportation Specialist - Route Optimization (GIS Mapping),Transportation Specialist,53-4011.00,Locomotive Engineers
Senior Transportation Specialist - Fleet Management (Vehicle Maintenance),Transportation Specialist,53-4011.00,Locomotive Engineers
Transportation Specialist - Supply Chain Management (Inventory Control),Transportation Specialist,53-4011.00,Locomotive Engineers
Transportation Specialist - Travel Arrangements (Corporate Events),Transportation Specialist,53-4011.00,Locomotive Engineers
Database Architect - Cloud Migration (AWS/Azure),Database Architect,15-1243.00,Database Architects
Senior Database Architect - Data Warehousing (ETL/BI),Database Architect,15-1243.00,Database Architects
Database Architect - Database Administration (MySQL/Oracle),Database Architect,15-1243.00,Database Architects
Database Architect - Data Modeling (Entity-Relationship Diagrams),Database Architect,15-1243.00,Database Architects
Database Architect - NoSQL Database Design (MongoDB/Cassandra),Database Architect,15-1243.00,Database Architects
Wire Mill Operator - 2nd Shift (Monday - Friday) - Competitive Pay & Benefits,Wire Mill Operator,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
Entry-Level Wire Mill Operator - Training Provided - $18-$22/hour,Wire Mill Operator,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
